lambda,queueSize,Loss Probability,Average Delay,Transmitted bandwidth,Wk
150,64,0.04542357483533954,0.009555752956662158,112254.26666666666,0.011785983421250942
150,96,0.04435573297848747,0.009903724568620736,118559.46666666666,0.011785983421250942
150,128,0.021891418563922942,0.009991942475675591,118878.93333333333,0.011785983421250942
150,10000,0.002659680572363259,0.009890652159317921,118772.448,0.011785983421250942
300,64,0.44112656939260264,0.09908724328040844,232262.93333333332,0.10155844155844157
300,96,1.5007120166502355,0.20602452588679704,235540.26666666666,0.10155844155844157
300,128,0.31344453151236984,0.09460801280082329,233104.93333333332,0.10155844155844157
300,10000,0.23900445963628594,0.33474312009418083,233880.84,0.10155844155844157
450,64,33.762791724950304,0.2281455552015495,231051.46666666667,-0.01534838076545633
450,96,32.009381146920866,0.3401246424560609,238832.4,-0.01534838076545633
450,128,33.6505828537701,0.4385305427117717,231665.2,-0.01534838076545633
450,10000,33.23273598091321,29.967186818685313,233692.192,-0.01534838076545633
